IT,SEF,tute0,Mon,1130,80.04.11,unassigned
IT,SEF,tute1,Mon,1130,80.04.11,unassigned
IT,SEF,tute2,Mon,1230,80.04.11,unassigned
IT,SEF,tute3,Tue,1330,80.04.11,unassigned
IT,SEF,tute4,Wed,1430,80.04.11,unassigned
IT,SEF,tute5,Fri,0830,80.04.11,unassigned
IT,SEF,prac0,Tue,0930,80.04.11,unassigned
IT,SEF,prac1,Tue,1230,80.04.11,unassigned
IT,SEF,prac2,Thu,1030,80.04.11,unassigned
IT,SEF,prac3,Wed,0930,80.04.11,unassigned
IT,SEF,prac4,Mon,2030,80.04.11,unassigned
IT,SEF,prac5,Fri,1830,80.04.11,unassigned
Bio,Genetics,tute0,Fri,1630,80.04.11,unassigned
Bio,Genetics,tute1,Thu,1230,80.04.11,unassigned
Bio,Genetics,prac0,Mon,0830,80.04.11,unassigned
Maths,Discrete Calc,lect0,Tue,1430,80.04.11,unassigned
Maths,Discrete Calc,lect1,Wed,1530,80.04.11,unassigned
